label,precision,recall,f1-score,support
label_251198002,0.4,0.36363636363636365,0.38095238095238093,11.0
label_251199005,0.18181818181818182,0.058823529411764705,0.08888888888888889,34.0
label_251205003,0.2222222222222222,0.11764705882352941,0.15384615384615385,17.0
label_251223006,0.3548387096774194,0.34375,0.3492063492063492,32.0
label_270492004,0.6386138613861386,0.75,0.6898395721925134,172.0
label_27885002,0.1,0.07692307692307693,0.08695652173913043,13.0
label_284470004,0.3202614379084967,0.2552083333333333,0.28405797101449276,192.0
label_29320008,0.36363636363636365,0.36363636363636365,0.36363636363636365,22.0
label_365413008,0.2616822429906542,0.27184466019417475,0.26666666666666666,103.0
label_39732003,0.5529100529100529,0.8293650793650794,0.6634920634920635,252.0
label_418818005,0.0,0.0,0.0,0.0
label_425856008,0.1111111111111111,0.09090909090909091,0.1,11.0
label_426177001,0.9751883030571555,0.9009414654113794,0.936595744680851,2443.0
label_426183003,0.0,0.0,0.0,2.0
label_426627000,0.0,0.0,0.0,2.0
label_426648003,0.0,0.0,0.0,4.0
label_426664006,0.0,0.0,0.0,3.0
label_426761007,0.8235294117647058,0.7777777777777778,0.8,108.0
label_426783006,0.9096446700507614,0.7219983883964545,0.8050314465408805,1241.0
label_426995002,0.0,0.0,0.0,9.0
label_427084000,0.9506048387096774,0.9049904030710173,0.9272369714847591,1042.0
label_427172004,0.5161290322580645,0.7225806451612903,0.6021505376344086,155.0
label_427393009,0.6308724832214765,0.2520107238605898,0.36015325670498083,373.0
label_428417006,0.26153846153846155,0.3090909090909091,0.2833333333333333,55.0
label_428750005,0.16,0.04597701149425287,0.07142857142857142,174.0
label_429622005,0.46601941747572817,0.5353159851301115,0.4982698961937716,269.0
label_445118002,0.36036036036036034,0.7272727272727273,0.4819277108433735,55.0
label_445211001,0.0,0.0,0.0,2.0
label_446358003,0.5,0.2857142857142857,0.36363636363636365,7.0
label_446813000,0.0,0.0,0.0,3.0
label_47665007,0.44396551724137934,0.7984496124031008,0.5706371191135734,129.0
label_49578007,0.0,0.0,0.0,1.0
label_50799005,0.0,0.0,0.0,4.0
label_54016002,0.0,0.0,0.0,5.0
label_54329005,0.2,0.375,0.2608695652173913,8.0
label_55827005,0.6127450980392157,0.15547263681592038,0.24801587301587302,804.0
label_55930002,0.638095238095238,0.30781010719754975,0.4152892561983471,653.0
label_5609005,0.3333333333333333,0.25,0.2857142857142857,8.0
label_57054005,0.25,0.14285714285714285,0.18181818181818182,14.0
label_59118001,0.33098591549295775,0.5222222222222223,0.4051724137931034,90.0
label_59931005,0.5525727069351231,0.5323275862068966,0.5422612513721186,464.0
label_61277005,0.0,0.0,0.0,3.0
label_61721007,0.2755102040816326,0.30337078651685395,0.2887700534759358,89.0
label_63593006,0.0,0.0,0.0,0.0
label_6374002,0.34177215189873417,0.42857142857142855,0.38028169014084506,63.0
label_65778007,0.0,0.0,0.0,1.0
label_67741000119109,0.0,0.0,0.0,0.0
label_67751000119106,0.0,0.0,0.0,3.0
label_698252002,0.45263157894736844,0.36134453781512604,0.40186915887850466,119.0
label_713422000,0.23255813953488372,0.2222222222222222,0.22727272727272727,45.0
label_713426002,0.3283582089552239,0.5238095238095238,0.4036697247706422,42.0
label_713427006,0.5952380952380952,0.8620689655172413,0.704225352112676,145.0
label_733534002,0.6470588235294118,0.7674418604651163,0.7021276595744681,43.0
label_74390002,0.5,0.5714285714285714,0.5333333333333333,7.0
label_75532003,0.1111111111111111,0.14285714285714285,0.125,7.0
label_77867006,0.0,0.0,0.0,2.0
label_81898007,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
label_89792004,0.7692307692307693,0.5,0.6060606060606061,20.0
